EmpID,FirstName,LastName,Name,Position,Department,Agreement_Date,ExitDate, Contract_Term (in months) ,Current Employee Rating,Basic Salary,Bonus,Benefits,cloud_service_used,database_software_required,statistic_software_required,programming_language_required,Tools_used
1016,Jayda,Reese,Jayda_Reese,Mechanic,Admin Offices,2020-02-21,2021-05-29,15,3,23347.94,0,0,,Teradata,SAS,,"Teradata,SAS,"
1017,Julien,Whitehead,Julien_Whitehead,Laborer,Admin Offices,2020-09-07,2021-12-15,15,3,0,0,1150,,SQL,,,"SQL,,"
1018,Alan,Haynes,Alan_Haynes,Laborer,Admin Offices,2020-06-19,2021-12-08,18,3,94239.01,9651.77,7634.6,,,,HTML/HTML5,",,HTML/HTML5"
1019,Kamryn,Herrera,Kamryn_Herrera,Engineer,Software Engineering,2022-10-14,2023-07-28,10,3,61345.26,7931.06,3953.75,,,SPSS,,",SPSS,"
1020,Kelvin,Foster,Kelvin_Foster,Supervisor,Software Engineering,2023-06-20,2023-07-18,1,3,39345.53,0,0,,,,,",,"
1021,Joe,Fletcher,Joe_Fletcher,Billing Officer,Software Engineering,2020-11-09,2023-07-17,33,3,30619.2,0,42.5,,SQL,,,"SQL,,"
1023,Nickolas,Davila,Nickolas_Davila,Clerk,Software Engineering,2018-11-09,2021-10-10,36,3,14838.93,322.33,1464.69,,SQL,,,"SQL,,"
1024,Kasey,Boyer,Kasey_Boyer,Coordinator,Software Engineering,2018-12-30,2021-06-23,30,3,75695.83,11164.11,129.75,,SQL,,,"SQL,,"
1025,Giovanni,Jenkins,Giovanni_Jenkins,Foreman,Admin Offices,2023-05-11,2023-05-15,0,3,13453.2,704,47789.25,,,,,",,"
1026,Alexis,Moss,Alexis_Moss,Engineer,Admin Offices,2022-11-03,2023-02-09,3,3,109553.6,0,4680,,SQL,SAS,,"SQL,SAS,"
1027,Joanna,Murphy,Joanna_Murphy,Flagger,Admin Offices,2020-06-14,2021-05-29,12,3,13914.37,0,0,,SQL,,Python,"SQL,,Python"
1028,Joseph,Schmidt,Joseph_Schmidt,Model Assistant,Software Engineering,2019-10-15,2023-01-01,39,3,85329.79,46655.78,2979.33,MapReduce,SQL,SAS,Python,"SQL,SAS,Python"
1032,Kiley,Haynes,Kiley_Haynes,Laborer,Software Engineering,2022-04-19,2022-08-26,4,3,65913.6,0,2300,,SQL,,,"SQL,,"
1036,Kody,Jimenez,Kody_Jimenez,Foreman,Admin Offices,2021-07-06,2021-11-25,5,3,75755.2,10680.51,6046.8,,,,,",,"
1037,Zoe,Colon,Zoe_Colon,Engineer,Software Engineering,2020-09-24,2020-11-02,1,3,39398.72,3885.29,1767.03,,Teradata,SAS,,"Teradata,SAS,"
1039,Nolan,Perez,Nolan_Perez,Administrator,Software Engineering,2019-08-22,2022-03-25,32,3,61095.8,10615.74,1685.21,,,,,",,"
1040,Katrina,Farrell,Katrina_Farrell,Technician,Software Engineering,2019-07-25,2022-12-17,41,3,97810.48,47364.28,62195.76,NoSQL,SQL,,,"SQL,,"
1041,Camden,Kelly,Camden_Kelly,Administrator,Software Engineering,2019-11-11,2020-01-10,2,3,92060.31,61292.92,14516.18,,SQL,SPSS,,"SQL,SPSS,"
1043,Kale,Lang,Kale_Lang,Billing Officer,Software Engineering,2022-12-19,2023-05-10,5,3,7568.63,0,1.2,Azure,SQL,SAS,Java/Javascript,"SQL,SAS,Java/Javascript"
1045,Elliott,Ashley,Elliott_Ashley,Foreman,Admin Offices,2020-10-04,2023-02-27,29,3,75755.2,3861.67,3680.69,,SQL,SAS,,"SQL,SAS,"
1046,Genesis,Todd,Genesis_Todd,Laborer,Software Engineering,2022-04-23,2022-08-03,3,3,77103.62,25487.14,2517.83,Azure,SQL,,,"SQL,,"
1049,Demarion,Morrow,Demarion_Morrow,Technician,Software Engineering,2019-05-30,2020-12-19,19,3,44730.72,1438.31,0,,SQL,SAS,,"SQL,SAS,"
1051,Devon,Hinton,Devon_Hinton,Operator,Software Engineering,2022-04-08,2023-01-11,9,3,84582.4,0,2023.34,,SQL,,Java/Javascript,"SQL,,Java/Javascript"
1052,Jacquelyn,Johns,Jacquelyn_Johns,Foreman,Software Engineering,2021-02-25,2021-06-04,3,3,61588.8,0,0,,,,,",,"
1053,Blaine,Keith,Blaine_Keith,Project Manager,Software Engineering,2019-03-13,2021-04-07,25,3,39148.16,0,182.1,,mySQL,,,"mySQL,,"
1060,Frida,Livingston,Frida_Livingston,Project Manager,Software Engineering,2018-10-10,2018-12-25,3,3,118208.32,0,53965.98,,SQL,,Java/Javascript,"SQL,,Java/Javascript"
1062,Travis,Vasquez,Travis_Vasquez,Program Manager,Software Engineering,2019-05-18,2020-01-14,8,3,5519.37,182.07,61.95,,SQL,,Java/Javascript,"SQL,,Java/Javascript"
1064,Wyatt,Donovan,Wyatt_Donovan,Technician,Software Engineering,2022-03-30,2022-04-13,0,3,37456,255.11,827.98,,,SPSS,,",SPSS,"
1066,Gage,Weeks,Gage_Weeks,Operator,Software Engineering,2021-12-27,2023-01-05,12,3,112734.4,0,9050.4,,,,,",,"
1069,Wyatt,Edwards,Wyatt_Edwards,Foreman,Software Engineering,2018-10-13,2023-05-28,56,3,101087.84,9613.13,7108.23,Azure,,SAS,,",SAS,"
1070,Karla,Reed,Karla_Reed,Project Manager,Software Engineering,2018-12-15,2022-05-28,42,3,50144.32,0,0,AWS,mySQL,STATA,Python,"mySQL,STATA,Python"
1071,Yadira,Mcmillan,Yadira_Mcmillan,Laborer,Software Engineering,2019-03-28,2020-10-17,19,3,50124.8,0,1446.34,GCP,SQL,STATA,Python,"SQL,STATA,Python"
1074,Lilianna,Mccall,Lilianna_Mccall,Laborer,Software Engineering,2021-02-19,2023-02-24,25,3,6626.4,957.95,33.13,AWS,SQL,SAS,Python,"SQL,SAS,Python"
1075,Salvador,Thomas,Salvador_Thomas,Engineer,Software Engineering,2022-11-05,2023-04-16,5,3,54187.2,4059.49,6402.88,,SQL,,,"SQL,,"
1076,Jair,Silva,Jair_Silva,Administrator,Software Engineering,2020-03-22,2020-09-28,6,3,51253.6,36.21,475,,,,,",,"
1078,Litzy,Conner,Litzy_Conner,Foreman,Software Engineering,2020-02-24,2021-06-16,16,3,72825.6,11989.45,5821.07,,,,,",,"
1079,Joanna,Burnett,Joanna_Burnett,Manager,Software Engineering,2021-04-07,2022-05-01,13,3,69240,12538.46,5221.81,,,,,",,"
1081,Armani,Porter,Armani_Porter,Laborer,Software Engineering,2022-01-17,2022-08-10,7,3,57239.12,24169.18,195.3,,mySQL,,,"mySQL,,"
1082,Taylor,Sanders,Taylor_Sanders,Technician,Software Engineering,2021-09-02,2023-06-27,22,3,62613.7,1949.09,2540.55,NoSQL,SQL,R,Python,"SQL,R,Python"
1086,Ava,Pace,Ava_Pace,Supervisor,Software Engineering,2022-08-12,2022-10-20,2,3,48508.8,5710.05,1896.72,Azure,SQL,SAS,Python,"SQL,SAS,Python"
1087,Delaney,Bruce,Delaney_Bruce,Tower Hand,Software Engineering,2022-07-08,2023-08-04,13,3,109022.4,0,4680,Azure,,R,Python,",R,Python"
1088,Jair,Bullock,Jair_Bullock,Foreman,Software Engineering,2020-08-15,2021-01-23,5,3,22426.84,1.82,725,,,R,Python,",R,Python"
1089,Kayla,Farrell,Kayla_Farrell,Groundman,Software Engineering,2023-05-27,2023-06-14,1,3,23478.52,288.08,2143.23,Azure,SQL,,Python,"SQL,,Python"
1091,Carl,Desimone,Carl_Desimone,Supervisor,Production       ,2018-11-16,2021-04-03,29,3,50266.8,1001.52,5318.99,,,R,Python,",R,Python"
1096,Linda,Anderson,Linda_Anderson,Mechanic,Production       ,2022-02-15,2022-10-19,8,3,44544.8,0,0,AWS,,R,Python,",R,Python"
1097,Nilson,Fernandes,Nilson_Fernandes,Technician,Production       ,2023-07-17,2023-08-03,1,3,29732.83,721.89,800.65,,,R,Python,",R,Python"
1098,Alain,Robinson,Alain_Robinson,Engineer,Production       ,2019-05-03,2023-06-02,50,3,47412.8,647.62,962,,,R,Python,",R,Python"
1099,Seffi,Shields,Seffi_Shields,Laborer,Production       ,2022-03-25,2022-04-22,1,3,33462.72,273.21,106.35,AWS,SQL,SAS,Python,"SQL,SAS,Python"
1103,Samuel,MacLennan,Samuel_MacLennan,Splicer,Production       ,2021-04-11,2023-05-27,26,3,44952.64,78.83,0,NoSQL,,,Java/Javascript,",,Java/Javascript"
1105,Shakira,Perry,Shakira_Perry,Technician,Production       ,2020-10-08,2022-12-04,26,3,74105.6,0,0,AWS,,,Java/Javascript,",,Java/Javascript"
1109,Enola,Chivukula,Enola_Chivukula,Laborer,Production       ,2022-06-11,2022-09-25,4,3,68550.53,5871.43,129.75,,SQL,,HTML/HTML5,"SQL,,HTML/HTML5"
1111,Alexandra,Kirill,Alexandra_Kirill,Splicer,Production       ,2019-09-08,2020-08-29,12,3,109230.4,47513.37,3880.17,,Oracle,,,"Oracle,,"
1116,Ryker,Logan,Ryker_Logan,Clerk,Production       ,2019-03-09,2023-07-12,53,3,70031.76,3069.13,3000.41,,SQL,SPSS,,"SQL,SPSS,"
1117,Payten,Middleton,Payten_Middleton,Technician,Production       ,2019-02-21,2019-03-06,0,3,87199.52,24000.53,1053.25,,SQL,,,"SQL,,"
1118,Harrison,Hunt,Harrison_Hunt,Project Manager,Production       ,2019-10-04,2022-11-26,38,3,56974.4,0,1387,,SQL,,,"SQL,,"
1119,Orlando,Henderson,Orlando_Henderson,Laborer,Production       ,2019-11-24,2020-12-20,13,3,50753.6,6593.35,2364.6,,,,,",,"
1122,Sierra,Macias,Sierra_Macias,Technician,Production       ,2021-11-16,2022-08-26,9,3,51882.82,90.26,1020.8,,,,,",,"
1124,Pierce,Robbins,Pierce_Robbins,Technician,Production       ,2019-12-24,2022-11-11,35,3,65910.32,0,3603.6,GCP,SQL,R,Python,"SQL,R,Python"
1126,Gretchen,Richard,Gretchen_Richard,Engineer,Production       ,2018-09-08,2020-03-06,18,3,98179.2,0,2100,NoSQL,SQL,SPSS,Python,"SQL,SPSS,Python"
1129,Maximilian,Craig,Maximilian_Craig,Tower Hand,Production       ,2019-09-19,2021-10-23,26,3,51371.2,114.5,6000,NoSQL,SQL,SPSS,Python,"SQL,SPSS,Python"
1132,Raymond,Ayers,Raymond_Ayers,Laborer,Production       ,2021-05-15,2023-05-03,24,3,108821.42,2532.48,19680.61,Azure,mySQL,SPSS,Ruby,"mySQL,SPSS,Ruby"
1133,Vincent,Wyatt,Vincent_Wyatt,Engineer,Production       ,2022-03-14,2022-10-02,7,3,43452.8,1014.75,3243.12,NoSQL,,SAS,Python,",SAS,Python"
1134,Micah,Stanley,Micah_Stanley,Technician,Production       ,2021-12-06,2022-01-08,1,3,77064.68,21407.29,1740.79,,,,,",,"
1138,Calvin,Braun,Calvin_Braun,Coordinator,Production       ,2019-07-12,2022-07-12,37,3,51379.2,3209.99,2146.54,,,,Python,",,Python"
1139,Cale,Bender,Cale_Bender,Technician,Production       ,2018-08-10,2022-02-21,43,3,48268.8,482.8,1346.5,,SQL,SPSS,,"SQL,SPSS,"
1143,Elianna,Schmitt,Elianna_Schmitt,Lineman,Production       ,2018-09-02,2021-07-28,35,3,80615.83,45228.78,4175.81,AWS,SQL,,Ruby,"SQL,,Ruby"
1147,Ernest,Willis,Ernest_Willis,Lineman,Production       ,2019-06-11,2022-02-27,33,3,46544.55,0,2185,,mySQL,R,,"mySQL,R,"
1153,Davis,Roberts,Davis_Roberts,Laborer,Production       ,2020-04-14,2021-09-10,17,3,10713.76,0,129.75,,,,Java/Javascript,",,Java/Javascript"
1154,Meadow,Avery,Meadow_Avery,Laborer,Production       ,2021-09-27,2023-02-05,17,3,47644.8,3552.82,110.8,,,,C/C++/C#/Objective-C,",,C/C++/C#/Objective-C"
1155,Allyson,Owen,Allyson_Owen,Clerk,Production       ,2018-11-17,2020-03-12,16,3,6960,0,4833.12,,,SPSS,Python,",SPSS,Python"
1156,Francisco,Simon,Francisco_Simon,Project Manager,Production       ,2019-07-22,2023-02-28,44,3,48434.4,452.62,2725.7,,,SPSS,Java/Javascript,",SPSS,Java/Javascript"
1158,Chaya,Boyd,Chaya_Boyd,Technician,Production       ,2018-11-22,2020-07-19,20,3,70118.72,0,0,,,,,",,"
1160,Wyatt,Spence,Wyatt_Spence,Flagger,Production       ,2022-12-26,2023-05-23,5,3,37523.6,165.96,0,,,SPSS,Python,",SPSS,Python"
1162,Jayleen,Oconnell,Jayleen_Oconnell,Laborer,Production       ,2022-03-29,2023-05-20,14,3,72825.6,5157.5,9942.59,,,,Python,",,Python"
1172,Carlie,Wilkerson,Carlie_Wilkerson,Engineer,Production       ,2021-06-13,2022-05-27,12,3,68637.25,3748.91,5055.89,Azure,SQL,SAS,Python,"SQL,SAS,Python"
1173,Kaylyn,Patrick,Kaylyn_Patrick,Manager,Production       ,2020-11-14,2021-11-01,12,3,56707.56,28214.36,953.29,Azure,,SPSS,Python,",SPSS,Python"
1174,Evie,Pope,Evie_Pope,Construction Manager,Production       ,2020-06-16,2023-03-13,33,3,56523.14,8013.64,3306.81,,SQL,SAS,,"SQL,SAS,"
1175,Nayeli,Kelley,Nayeli_Kelley,Laborer,Production       ,2018-12-20,2020-12-24,25,3,38699.37,0,1.05,NoSQL,SQL,R,Python,"SQL,R,Python"
1178,Dorian,Fox,Dorian_Fox,Laborer,Production       ,2021-10-03,2021-12-19,3,3,72825.6,9148.58,13358.39,Azure,,SPSS,,",SPSS,"
1182,Gunnar,Webster,Gunnar_Webster,Splicer,Production       ,2020-12-29,2022-10-24,22,3,59635.2,0,7709.6,MapReduce,,R,Python,",R,Python"
1184,Patrick,Mckinney,Patrick_Mckinney,Foreman,Production       ,2022-01-10,2023-05-11,16,3,72485.28,0,0,,SQL,R,Python,"SQL,R,Python"
1188,Reagan,Odonnell,Reagan_Odonnell,Estimator,Production       ,2020-02-06,2021-07-21,18,3,75755.2,16053.24,9099.38,MapReduce,,R,Python,",R,Python"
1189,Roy,Morse,Roy_Morse,Engineer,Production       ,2020-06-28,2022-07-11,25,3,102662.4,0,8660,,,R,,",R,"
1190,Rafael,Buchanan,Rafael_Buchanan,Project Manager,Production       ,2020-12-22,2021-11-20,11,3,75755.2,0,15366.58,AWS,,R,Java/Javascript,",R,Java/Javascript"
1193,Jamarion,Mitchell,Jamarion_Mitchell,Foreman,Production       ,2020-02-06,2022-01-23,24,3,91981.92,0,1776.4,GCP,SQL,R,Python,"SQL,R,Python"
1194,Gabrielle,Hardy,Gabrielle_Hardy,Foreman,Production       ,2019-01-14,2021-08-06,31,3,94301.54,23336.62,3954.63,,,,C/C++/C#/Objective-C,",,C/C++/C#/Objective-C"
1195,Savion,Stokes,Savion_Stokes,Foreman,Production       ,2019-06-25,2022-05-15,35,3,75755.2,6398.12,4634.65,,,R,Python,",R,Python"
1201,Sarahi,Dodson,Sarahi_Dodson,Flagger,Production       ,2022-04-11,2022-09-26,6,3,99559.2,42966.32,10911.73,AWS,SQL,,,"SQL,,"
1202,Faith,Carey,Faith_Carey,Model Assistant,Production       ,2022-09-01,2022-12-02,3,3,42099.23,0,0,AWS,SQL,,,"SQL,,"
1204,Pablo,Parker,Pablo_Parker,Vp,Production       ,2022-11-24,2023-08-05,8,3,51546.72,6127.42,652.35,GCP,SQL,,,"SQL,,"
1206,Bethany,Terry,Bethany_Terry,Drafter,Production       ,2018-12-28,2023-05-15,53,3,56974.4,0,2185,,,,,",,"
1208,Jazlene,Mcdaniel,Jazlene_Mcdaniel,Laborer,Production       ,2019-08-17,2019-10-25,2,3,75755.2,1759.63,5013.65,,,,,",,"
1210,Camila,Dunn,Camila_Dunn,Top Hand,Production       ,2020-12-08,2023-06-10,30,3,10894.73,181.92,35.4,,,R,Python,",R,Python"
1211,Aurora,Frederick,Aurora_Frederick,Splicer,Production       ,2018-11-05,2023-03-23,53,3,45916.16,0,1848.8,,,,,",,"
1212,Caylee,Nunez,Caylee_Nunez,Project Manager,Production       ,2020-08-26,2023-04-05,32,3,65913.6,0,5496.46,,SQL,,,"SQL,,"
1216,Marc,Crosby,Marc_Crosby,Technician,Production       ,2023-02-15,2023-03-09,1,3,75755.2,4751.24,2340.66,,,,Java/Javascript,",,Java/Javascript"
1217,Marques,Zimmerman,Marques_Zimmerman,Vp,Production       ,2019-12-03,2021-08-31,21,3,75755.2,38327.74,9268.2,,,R,Python,",R,Python"
1219,Alana,Choi,Alana_Choi,Engineer,Production       ,2020-01-16,2021-02-09,13,3,88916.8,0,3692.5,,,,Python,",,Python"
1220,Levi,Lawson,Levi_Lawson,Vp,Production       ,2018-11-20,2020-02-09,15,3,93542.4,0,1638.6,,,,,",,"
1221,Kane,Black,Kane_Black,Coordinator,Production       ,2022-11-11,2023-07-03,8,3,35060.8,324,700,,,,,",,"
1222,Paola,Weeks,Paola_Weeks,Recruiting,Production       ,2020-12-18,2021-07-23,7,3,99524.4,0,1923.12,,SQL,,,"SQL,,"
1224,Darrell,Zamora,Darrell_Zamora,Administrator,Production       ,2021-11-26,2022-05-24,6,3,75755.2,1347.09,3414.85,,SQL,R,Python,"SQL,R,Python"
1227,Hailey,Mckay,Hailey_Mckay,Engineer,Production       ,2019-08-22,2022-06-06,34,3,13558.94,136.44,16.8,Azure,,,Python,",,Python"
1234,Ronin,Mclaughlin,Ronin_Mclaughlin,Director,Production       ,2019-10-18,2021-10-03,24,3,116303.44,0,0,,Teradata,SAS,,"Teradata,SAS,"
1236,Ramon,Goodwin,Ramon_Goodwin,Laborer,Production       ,2018-11-25,2019-07-25,8,3,18440.64,0,1750,,SQL,,,"SQL,,"
1237,Cory,Saunders,Cory_Saunders,Engineer,Production       ,2021-03-23,2022-08-26,17,3,71433.6,0,8802.4,,SQL,,Python,"SQL,,Python"
1238,Alessandra,Huynh,Alessandra_Huynh,Engineer,Production       ,2020-10-27,2021-11-08,13,3,39836.48,14.32,0,,SQL,,,"SQL,,"
1239,Maeve,Holmes,Maeve_Holmes,Technician,Production       ,2022-06-11,2023-06-29,13,3,15439.2,406.46,10.13,,Teradata,SAS,,"Teradata,SAS,"
1241,Reuben,Potter,Reuben_Potter,Laborer,Production       ,2019-11-07,2022-12-07,38,3,56134.08,0,0,,SQL,,,"SQL,,"
1246,Kira,Soto,Kira_Soto,CEO,Production       ,2018-09-28,2021-04-25,31,3,12798.12,0,0,AWS,SQL,SAS,Python,"SQL,SAS,Python"
1248,Sarahi,Burke,Sarahi_Burke,Operator,Production       ,2021-03-29,2021-12-01,8,3,77470.81,10593.72,2129.75,,,SPSS,Python,",SPSS,Python"
1249,Aimee,Terry,Aimee_Terry,Driver,Production       ,2019-07-07,2020-02-14,7,3,109230.4,70249.86,9675.46,,,SPSS,,",SPSS,"
1252,Fabian,Young,Fabian_Young,Technician,Production       ,2022-03-11,2022-04-25,2,3,51110.2,3119.06,129.75,,,,,",,"
1253,Juliette,Morton,Juliette_Morton,Engineer,Production       ,2020-07-13,2021-10-06,15,3,75755.2,4813.58,3160.32,,SQL,SPSS,,"SQL,SPSS,"
1255,Tyler,Gay,Tyler_Gay,Laborer,Production       ,2019-09-30,2021-03-02,17,3,48927.21,2313.62,2835.19,,SQL,,,"SQL,,"
1259,Vaughn,Leonard,Vaughn_Leonard,Laborer,Production       ,2022-05-01,2023-04-24,12,3,66305.6,13286.83,0,,SQL,,,"SQL,,"
1262,Kyle,Sanders,Kyle_Sanders,Engineer,Production       ,2021-07-01,2023-03-28,21,3,51105.42,0,1023.12,MapReduce,SQL,SAS,,"SQL,SAS,"
1265,Kolton,Dawson,Kolton_Dawson,Laborer,Production       ,2022-01-17,2022-07-25,6,3,75755.2,30001.01,5316.49,,mySQL,,,"mySQL,,"
1266,Ciara,Cole,Ciara_Cole,Manager,Production       ,2021-11-14,2022-07-01,8,3,84488.8,0,0,,,,,",,"
1267,Virginia,Wallace,Virginia_Wallace,Lineman,Production       ,2020-11-14,2020-12-22,1,3,62246.3,9676.68,1285.96,,SQL,,,"SQL,,"
1270,Yahir,Hill,Yahir_Hill,Laborer,Production       ,2019-05-01,2019-12-31,8,3,64864.16,0,0,,,,,",,"
1272,Dawson,Pratt,Dawson_Pratt,Coordinator,Production       ,2021-02-08,2022-07-15,17,3,53948.8,496.88,6692.52,,SQL,,,"SQL,,"
1273,Michaela,Smith,Michaela_Smith,Manager,Production       ,2020-10-29,2021-01-26,3,3,19249.41,0,72,,,SAS,,",SAS,"
1279,Malachi,Singleton,Malachi_Singleton,Technician,Production       ,2021-07-09,2023-01-27,19,3,62128.94,6785.07,2227.91,Azure,SQL,,,"SQL,,"
1281,Jordyn,Sheppard,Jordyn_Sheppard,Administrator,Production       ,2020-08-07,2021-07-20,12,3,36478.06,2986.41,1894.87,,Teradata,,,"Teradata,,"
1282,Rohan,Matthews,Rohan_Matthews,Administrator,Production       ,2021-04-10,2022-11-19,20,3,35442,0,0,,SQL,,,"SQL,,"
1286,Hugo,Tate,Hugo_Tate,Driller,Production       ,2021-09-09,2021-10-28,2,3,74556.43,8813.44,7514.87,,SQL,,Ruby,"SQL,,Ruby"
1287,Daniel,Griffin,Daniel_Griffin,Technician,Production       ,2020-09-19,2023-02-20,29,3,8458.56,729.11,27472.99,Azure,Teradata,,,"Teradata,,"
1288,Dakota,Salinas,Dakota_Salinas,Lineman,Production       ,2022-01-11,2022-10-26,10,3,33546.11,410.22,14.4,,,,Java/Javascript,",,Java/Javascript"
1291,Celeste,Lin,Celeste_Lin,Coordinator,Production       ,2023-06-17,2023-07-27,1,3,57002.87,3281.69,2544.03,AWS,,,Java/Javascript,",,Java/Javascript"
1293,Lawrence,Cross,Lawrence_Cross,Lineman,Production       ,2021-06-01,2023-04-29,23,3,98179.2,0,5825.74,NoSQL,mySQL,R,Ruby,"mySQL,R,Ruby"
1294,Kara,Barnes,Kara_Barnes,Laborer,Production       ,2023-04-07,2023-05-07,1,3,16440.4,193.4,246.08,,PostgreSQL,,Python,"PostgreSQL,,Python"
1296,Adalyn,Vaughan,Adalyn_Vaughan,Administrator,Production       ,2019-03-13,2020-09-12,18,3,33144.8,1423.78,212.4,AWS,,,Python,",,Python"
1297,Chase,Lloyd,Chase_Lloyd,Technician,Production       ,2019-05-24,2021-10-09,29,3,109230.4,28692.88,17984.4,NoSQL,,SAS,C/C++/C#/Objective-C,",SAS,C/C++/C#/Objective-C"
1301,Lilian,Norton,Lilian_Norton,Driller,Production       ,2019-03-22,2022-03-23,37,3,75755.2,20297.27,6701.96,AWS,,,Java/Javascript,",,Java/Javascript"
1302,Aliana,Pennington,Aliana_Pennington,Laborer,Production       ,2021-03-08,2022-12-17,22,3,264.59,0,0,Azure,,R,,",R,"
1305,Oscar,Munoz,Oscar_Munoz,Laborer,Production       ,2021-01-06,2022-12-30,24,3,75755.2,4188.6,9290.65,AWS,,,Python,",,Python"
1307,Dexter,Cline,Dexter_Cline,Director,Production       ,2021-09-22,2021-10-25,1,3,37450.4,4406.97,46577.46,,mySQL,,Python,"mySQL,,Python"
1308,Atticus,Frost,Atticus_Frost,Supervisor,Production       ,2022-06-28,2023-03-07,8,3,75755.2,19732.06,4343.72,,,R,Python,",R,Python"
1310,Emmalee,Reynolds,Emmalee_Reynolds,Technician,Production       ,2023-04-03,2023-07-21,4,3,6173.48,0,283.89,GCP,SQL,R,Python,"SQL,R,Python"
1311,Moshe,Taylor,Moshe_Taylor,Specialist,Production       ,2023-05-26,2023-06-12,1,3,81345.6,4829.29,3839.09,,,,,",,"
1314,Marcel,Gomez,Marcel_Gomez,Technician,Production       ,2021-10-13,2023-06-21,21,3,109230.4,11813.63,4866.3,AWS,SQL,,Python,"SQL,,Python"
1316,Janet,King,Janet_King,Foreman,Executive Office,2019-01-20,2021-09-15,32,3,75755.2,2889.36,5328.59,,mySQL,,HTML/HTML5,"mySQL,,HTML/HTML5"
1317,Bonalyn,Boutwell,Bonalyn_Boutwell,Lineman,Admin Offices,2021-05-09,2022-10-27,18,3,54507.49,3278.28,129.75,,SQL,SAS,,"SQL,SAS,"
1318,Nan,Singh,Nan_Singh,Laborer,Admin Offices,2023-07-29,2023-08-04,0,3,69433.3,785.83,2543.8,,SQL,,Python,"SQL,,Python"
1319,Tyrone,Steans,Tyrone_Steans,Intern,Admin Offices,2019-08-24,2022-12-14,40,3,55823.7,894.32,2417.21,,SQL,R,Python,"SQL,R,Python"
1321,William,LaRotonda,William_LaRotonda,Vp,Admin Offices,2021-05-27,2021-08-24,3,3,31976.88,0,29542.64,AWS,SQL,R,Ruby,"SQL,R,Ruby"
1322,Mia,Brown,Mia_Brown,CEO,Admin Offices,2023-02-02,2023-06-23,5,3,75755.2,19776.71,11839.98,,SQL,R,Python,"SQL,R,Python"
1326,Jaida,Sweeney,Jaida_Sweeney,Billing Officer,Admin Offices,2020-03-08,2021-11-07,20,3,37735.76,463.31,56.25,,SQL,SPSS,Python,"SQL,SPSS,Python"
1328,Skyler,Robles,Skyler_Robles,Vp,IT/IS,2020-02-29,2021-09-23,19,3,61037.6,4285.95,1123.07,,SQL,SPSS,Python,"SQL,SPSS,Python"
1329,Allyson,Keller,Allyson_Keller,Laborer,Software Engineering,2022-11-25,2023-04-12,5,3,75755.2,16454.38,4921.28,,SQL,R,,"SQL,R,"
1330,Eddie,Bauer,Eddie_Bauer,Associate,Admin Offices,2022-09-15,2023-05-05,8,3,86847.84,52912.9,1286.83,MapReduce,SQL,SAS,Python,"SQL,SAS,Python"
1334,Susan,Gordon,Susan_Gordon,Laborer,IT/IS,2020-09-01,2020-11-29,3,3,14748.89,0,1345.25,,SQL,R,Python,"SQL,R,Python"
